m/n,solutions,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.8515625,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.859375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.875,0,,,
0.875,0,,,
0.875,0,,,
0.875,0,,,
0.875,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.87109375,0,,,
0.8828125,0,,,
0.8828125,0,,,
0.8828125,0,,,
0.8828125,0,,,
0.8828125,0,,,
0.87890625,0,,,
0.87890625,0,,,
0.87890625,0,,,
0.87890625,0,,,
0.87890625,0,,,
0.88671875,0,,,
0.88671875,0,,,
0.88671875,0,,,
0.88671875,0,,,
0.88671875,0,,,
0.890625,0,,,
0.890625,0,,,
0.890625,0,,,
0.890625,0,,,
0.890625,0,,,
0.89453125,0,,,
0.89453125,0,,,
0.89453125,0,,,
0.89453125,0,,,
0.89453125,0,,,
0.8984375,0,,,
0.8984375,0,,,
0.8984375,0,,,
0.8984375,0,,,
0.8984375,0,,,
0.90234375,0,,,
0.90234375,0,,,
0.90234375,0,,,
0.90234375,0,,,
0.90234375,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.90625,0,,,
0.9140625,0,,,
0.9140625,0,,,
0.9140625,0,,,
0.9140625,0,,,
0.9140625,0,,,
0.91796875,0,,,
0.91796875,0,,,
0.91796875,0,,,
0.91796875,0,,,
0.91796875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.921875,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.9296875,0,,,
0.9296875,0,,,
0.9296875,0,,,
0.9296875,0,,,
0.9296875,0,,,
0.94140625,0,,,
0.94140625,0,,,
0.94140625,0,,,
0.94140625,0,,,
0.94140625,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.93359375,0,,,
0.94921875,0,,,
0.94921875,0,,,
0.94921875,0,,,
0.94921875,0,,,
0.94921875,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.953125,0,,,
0.96875,0,,,
0.96875,0,,,
0.96875,0,,,
0.96875,0,,,
0.96875,0,,,
0.96484375,0,,,
0.96484375,0,,,
0.96484375,0,,,
0.96484375,0,,,
0.96484375,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.97265625,0,,,
0.9765625,0,,,
0.9765625,0,,,
0.9765625,0,,,
0.9765625,0,,,
0.9765625,0,,,
0.98046875,0,,,
0.98046875,0,,,
0.98046875,0,,,
0.98046875,0,,,
0.98046875,0,,,
0.9921875,0,,,
0.9921875,0,,,
0.9921875,0,,,
0.9921875,0,,,
0.9921875,0,,,
1,0,,,
1,0,,,
1,0,,,
1,0,,,
1,0,,,
0.98828125,0,,,
0.98828125,0,,,
0.98828125,0,,,
0.98828125,0,,,
0.98828125,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.00390625,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.0078125,0,,,
1.01953125,0,,,
1.01953125,0,,,
1.01953125,0,,,
1.01953125,0,,,
1.01953125,0,,,
1.015625,0,,,
1.015625,0,,,
1.015625,0,,,
1.015625,0,,,
1.015625,0,,,
1.0234375,0,,,
1.0234375,0,,,
1.0234375,0,,,
1.0234375,0,,,
1.0234375,0,,,
1.02734375,0,,,
1.02734375,0,,,
1.02734375,0,,,
1.02734375,0,,,
1.02734375,0,,,
